ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
11225,Married,Female,60000.0,2.0,Partial College,Professional,Yes,1.0,10+ Miles,North America,55.0,No
11225,Married,Female,60000.0,2.0,Partial College,Professional,Yes,1.0,10+ Miles,North America,55.0,No
11270,Married,Male,130000.0,2.0,Graduate Degree,Management,Yes,3.0,0-1 Miles,North America,42.0,Yes
11270,Married,Male,130000.0,2.0,Graduate Degree,Management,Yes,3.0,0-1 Miles,North America,42.0,Yes
11270,Married,Male,130000.0,2.0,Graduate Degree,Management,Yes,3.0,0-1 Miles,North America,42.0,Yes
11663,Married,Male,70000.0,4.0,Graduate Degree,Professional,Yes,0.0,0-1 Miles,North America,36.0,Yes
11663,Married,Male,70000.0,4.0,Graduate Degree,Professional,Yes,0.0,0-1 Miles,North America,36.0,Yes
11663,Married,Male,70000.0,4.0,Graduate Degree,Professional,Yes,0.0,0-1 Miles,North America,36.0,Yes
11699,Single,,60000.0,,Bachelors,Skilled Manual,No,2.0,0-1 Miles,North America,,No
11699,Single,,60000.0,,Bachelors,Skilled Manual,No,2.0,0-1 Miles,North America,,No
11699,Single,,60000.0,,Bachelors,Skilled Manual,No,2.0,0-1 Miles,North America,,No
11817,Single,Female,70000.0,4.0,Graduate Degree,Professional,Yes,0.0,2-5 Miles,North America,35.0,Yes
11817,Single,Female,70000.0,4.0,Graduate Degree,Professional,Yes,0.0,2-5 Miles,North America,35.0,Yes
11817,Single,Female,70000.0,4.0,Graduate Degree,Professional,Yes,0.0,2-5 Miles,North America,35.0,Yes
11886,Married,Female,60000.0,3.0,Bachelors,Professional,Yes,1.0,0-1 Miles,North America,48.0,Yes
11886,Married,Female,60000.0,3.0,Bachelors,Professional,Yes,1.0,0-1 Miles,North America,48.0,Yes
12033,Single,Female,40000.0,0.0,High School,Skilled Manual,No,2.0,0-1 Miles,North America,27.0,Yes
12033,Single,Female,40000.0,0.0,High School,Skilled Manual,No,2.0,0-1 Miles,North America,27.0,Yes
12121,Single,Male,60000.0,3.0,High School,Professional,Yes,2.0,10+ Miles,North America,53.0,Yes
12121,Single,Male,60000.0,3.0,High School,Professional,Yes,2.0,10+ Miles,North America,53.0,Yes
12133,Married,Female,130000.0,3.0,Partial College,Professional,Yes,3.0,5-10 Miles,Europe,50.0,Yes
12133,Married,Female,130000.0,3.0,Partial College,Professional,Yes,3.0,5-10 Miles,Europe,50.0,Yes
12344,Single,Female,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,31.0,No
12344,Single,Female,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,31.0,No
12344,Single,Female,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,31.0,No
12452,Married,Male,60000.0,4.0,Graduate Degree,Skilled Manual,Yes,0.0,1-2 Miles,North America,47.0,Yes
12452,Married,Male,60000.0,4.0,Graduate Degree,Skilled Manual,Yes,0.0,1-2 Miles,North America,47.0,Yes
12507,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No
12507,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No
12581,Single,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,28.0,Yes
12581,Single,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,28.0,Yes
12664,Married,Female,130000.0,5.0,Partial College,Professional,Yes,4.0,0-1 Miles,Europe,59.0,No
12664,Married,Female,130000.0,5.0,Partial College,Professional,Yes,4.0,0-1 Miles,Europe,59.0,No
12768,Married,Male,30000.0,1.0,High School,Clerical,Yes,1.0,2-5 Miles,North America,52.0,Yes
12768,Married,Male,30000.0,1.0,High School,Clerical,Yes,1.0,2-5 Miles,North America,52.0,Yes
12774,Married,Female,40000.0,1.0,Partial College,Clerical,Yes,1.0,1-2 Miles,North America,51.0,Yes
12774,Married,Female,40000.0,1.0,Partial College,Clerical,Yes,1.0,1-2 Miles,North America,51.0,Yes
12774,Married,Female,40000.0,1.0,Partial College,Clerical,Yes,1.0,1-2 Miles,North America,51.0,Yes
12808,Married,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes
12808,Married,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes
12871,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No
